Ticker,Date,Actual,Estimate,Surprise,Startdate,Enddate
OKE,2018-02-26T16:00:00,0.16,0.527,-69.3,2017-11-28T16:00:00,2018-04-10T16:00:00
OMC,2018-02-15T16:00:00,1.55,1.54,0.6,2017-11-17T16:00:00,2018-04-02T16:00:00
ORCL,2017-06-21T16:00:00,0.89,0.784,13.5,2017-03-27T16:00:00,2017-08-03T16:00:00
ORLY,2018-02-07T16:00:00,2.9,2.776,4.5,2017-11-09T16:00:00,2018-03-22T16:00:00
OXY,2018-02-13T16:00:00,0.41,0.403,1.7,2017-11-15T16:00:00,2018-03-28T16:00:00
PAYX,2017-06-28T16:00:00,0.54,0.528,2.3,2017-04-03T16:00:00,2017-08-10T16:00:00
PBCT,2018-01-18T16:00:00,0.31,0.268,15.7,2017-10-20T16:00:00,2018-03-02T16:00:00
PCAR,2018-01-30T16:00:00,1.18,1.124,5,2017-11-01T16:00:00,2018-03-14T16:00:00
PCG,2018-02-09T16:00:00,0.63,0.682,-7.6,2017-11-13T16:00:00,2018-03-26T16:00:00
PEG,2018-02-23T16:00:00,0.57,0.563,1.2,2017-11-27T16:00:00,2018-04-09T16:00:00
PEP,2018-02-13T16:00:00,1.31,1.304,0.5,2017-11-15T16:00:00,2018-03-28T16:00:00
PFE,2018-01-30T16:00:00,0.62,0.562,10.3,2017-11-01T16:00:00,2018-03-14T16:00:00
PFG,2018-01-29T16:00:00,1.19,1.363,-12.7,2017-10-31T16:00:00,2018-03-13T16:00:00
PG,2017-07-27T16:00:00,0.85,0.782,8.7,2017-05-02T16:00:00,2017-09-08T16:00:00
PGR,2018-01-24T16:00:00,0.84,0.773,9.1,2017-10-26T16:00:00,2018-03-08T16:00:00
PH,2017-08-03T16:00:00,2.45,2.308,6.2,2017-05-09T16:00:00,2017-09-15T16:00:00
PHM,2018-01-30T16:00:00,0.85,0.855,-0.6,2017-11-01T16:00:00,2018-03-14T16:00:00
PKG,2018-01-30T16:00:00,1.56,1.513,3.1,2017-11-01T16:00:00,2018-03-14T16:00:00
PKI,2018-01-25T16:00:00,0.97,0.94,3.2,2017-10-27T16:00:00,2018-03-09T16:00:00
PLD,2018-01-23T16:00:00,0.67,0.663,1.1,2017-10-25T16:00:00,2018-03-07T16:00:00
PM,2018-02-08T16:00:00,1.31,1.351,-3,2017-11-10T16:00:00,2018-03-23T16:00:00
PNC,2018-01-12T16:00:00,2.29,2.196,4.3,2017-10-17T16:00:00,2018-02-27T16:00:00
PNR,2018-01-30T16:00:00,0.93,0.933,-0.3,2017-11-01T16:00:00,2018-03-14T16:00:00
PNW,2018-02-23T16:00:00,0.19,0.12,60.3,2017-11-27T16:00:00,2018-04-09T16:00:00
PPG,2018-01-18T16:00:00,1.19,1.184,0.5,2017-10-20T16:00:00,2018-03-02T16:00:00
PPL,2018-02-22T16:00:00,0.55,0.478,15.1,2017-11-24T16:00:00,2018-04-06T16:00:00
PRGO,2018-03-01T16:00:00,1.28,1.25,2.4,2017-12-01T16:00:00,2018-04-13T16:00:00
PRU,2018-02-07T16:00:00,2.69,2.641,1.9,2017-11-09T16:00:00,2018-03-22T16:00:00
